REGINALD,234,514,8,0.04339321428
PETE,237,513,4,0.04330879168
JULIAN,238,511,6,0.04313994649
NEAL,239,506,4,0.04271783351
JERALD,240,502,6,0.04238014313
CHRISTOPHER,241,499,11,0.04212687534
EDMUND,242,498,6,0.04204245275
NATHAN,243,496,6,0.04187360755
CARLTON,244,492,7,0.04153591717
GRADY,245,489,5,0.04128264938
ISAAC,246,487,5,0.04111380419
ELDON,247,485,5,0.040944959
DALLAS,247,485,6,0.040944959
PAT,249,482,3,0.04069169121
ERIC,249,482,4,0.04069169121
BILLIE,251,480,6,0.04052284602
DARREL,252,473,6,0.03993188785
ELBERT,253,470,6,0.03967862006
MERLE,254,467,5,0.03942535227
JESUS,255,463,5,0.03908766189
ORVILLE,256,461,7,0.0389188167
SYLVESTER,256,461,9,0.0389188167
RUFUS,258,459,5,0.03874997151
ANTONIO,258,459,7,0.03874997151
MACK,260,458,4,0.03866554891
ROSS,260,458,4,0.03866554891
DWIGHT,262,456,6,0.03849670372
TEDDY,263,451,5,0.03807459074
BUDDY,264,448,5,0.03782132295
WILSON,265,447,6,0.03773690036
WOODROW,266,444,7,0.03748363257
RUBEN,267,443,5,0.03739920997
BOBBIE,267,443,6,0.03739920997
RAMON,269,439,5,0.03706151959
ELLIS,270,432,5,0.03647056142
JUNIOR,271,429,6,0.03621729363
RUDY,272,427,4,0.03604844844
CLARK,272,427,5,0.03604844844
ERVIN,274,417,5,0.03520422248
WADE,275,411,4,0.03469768691
IRVIN,276,410,5,0.03461326431
NICK,277,409,4,0.03452884171
FORREST,278,407,7,0.03435999652
DARRYL,279,405,6,0.03419115133
TERRENCE,280,397,8,0.03351577056
ANGELO,281,395,6,0.03334692537
FRANKIE,281,395,7,0.03334692537
FELIX,283,390,5,0.03292481239
BERT,284,384,4,0.03241827682
CRAIG,284,384,5,0.03241827682
SHELDON,284,384,7,0.03241827682
RANDOLPH,287,382,8,0.03224943162
PRESTON,288,381,7,0.03216500903
CONRAD,289,376,6,0.03174289605
BOYD,290,374,4,0.03157405086
NOEL,290,374,4,0.03157405086
GARLAND,292,366,7,0.03089867009
MICKEY,293,364,6,0.0307298249
OWEN,294,363,4,0.0306454023
TRAVIS,295,355,6,0.02997002154
PHIL,296,354,4,0.02988559894
AUBREY,296,354,6,0.02988559894
TYRONE,298,352,6,0.02971675375
JAN,299,350,3,0.02954790856
HARLEY,300,346,6,0.02921021817
BURTON,301,345,6,0.02912579558
SAMMIE,302,342,6,0.02887252779
SCOTT,303,339,5,0.02861926
EMMETT,304,338,6,0.02853483741
DARYL,305,334,5,0.02819714702
LOUIE,305,334,5,0.02819714702
ROYCE,305,334,5,0.02819714702
TIM,308,333,3,0.02811272443
LOYD,309,330,4,0.02785945664
WINSTON,310,329,7,0.02777503404
PERCY,311,328,5,0.02769061145
WILFRED,312,325,7,0.02743734366
MITCHELL,312,325,8,0.02743734366
CHRIS,314,317,5,0.02676196289
KENNY,314,317,5,0.02676196289
PEDRO,314,317,5,0.02676196289
GRANT,317,316,5,0.0266775403
MARLIN,318,315,6,0.0265931177
RODGER,318,315,6,0.0265931177
DARWIN,320,309,6,0.02608658213
GROVER,320,309,6,0.02608658213
ROBERTO,320,309,7,0.02608658213
GALE,323,307,4,0.02591773693
FREDDY,324,306,6,0.02583331434
RAUL,325,304,4,0.02566446915
KEN,326,303,3,0.02558004655
MARY,326,303,4,0.02558004655
FRANCISCO,326,303,9,0.02558004655
LANNY,329,302,5,0.02549562395
HARLAN,330,301,6,0.02541120136
KERMIT,331,300,6,0.02532677876
KEVIN,332,298,5,0.02515793357
MICHEAL,332,298,7,0.02515793357
MARIO,334,293,5,0.02473582059
IRVING,335,292,6,0.024651398
BRENT,336,288,5,0.02431370761
ELWOOD,336,288,6,0.02431370761
NORBERT,338,287,7,0.02422928502
NED,339,282,3,0.02380717204
JEFF,340,279,4,0.02355390425
AMOS,341,278,4,0.02346948165
JONATHAN,342,276,8,0.02330063646
MOSES,343,275,5,0.02321621387
EDMOND,344,274,6,0.02313179127
DENIS,345,272,5,0.02296294608
ALFONSO,345,272,7,0.02296294608
STEWART,347,271,7,0.02287852348
CLEVELAND,348,265,9,0.02237198791
EMIL,349,263,4,0.02220314272
CORNELIUS,350,262,9,0.02211872012
LIONEL,351,260,6,0.02194987493
SPENCER,351,260,7,0.02194987493
